seri;model;titles;year;km;color;prices;date;location
Panamera;Panamera Diesel;ARMAĞAN MOTORS'TAN PORSCHE PANAMERA HATASIZ BOYASIZ TRAMERSİZ;2012;209.000;Siyah;2.480.000 TL;"17 Aralık
2022";"Hatay
Antakya"
Taycan;4S Performance Plus;KILIÇKAYA'DAN İLK EL BAYİİ 13.900KM'DE UZATILMIŞ GARANTİLİ;2020;13.900;Mavi;5.600.000 TL;"17 Aralık
2022";"Ankara
Yenimahalle"
911;Carrera 4;S-CAR dan PORSCHE 911 CARRERA 4 FACELİFT KUSURSUZ KOLEKSİYONLUK;2000;91.000;Mavi;1.350.000 TL;"17 Aralık
2022";"Bursa
Nilüfer"
Taycan;4S Sport Turismo;NOLIMIT SC - PORSCHE TAYCAN 4S SPORT TURISMO - 571 HP;2022;6.006;Gri;6.350.000 TL;"17 Aralık
2022";"İstanbul
Beşiktaş"
Panamera;Panamera Diesel;HATASIZ TRAMERSİZ AİR PUSULA ISITMA SOĞUTMA 198.000KM V.BARIŞ;2012;198.000;Siyah;2.065.000 TL;"17 Aralık
2022";"İstanbul
Maltepe"
Panamera;Panamera Diesel;2012 MODEL PLATİNİUM EDİTİON PORSCHE PANEMERA SAHİBİNDEN;2012;140.000;Beyaz;3.000.000 TL;"17 Aralık
2022";"İstanbul
Sarıyer"
Panamera;Panamera Diesel;TAV MOTORS'DAN TR'DETEK 2013 PLATİNUM EDİTON BOYASIZ İÇi KIRMIZI;2013;134.000;Beyaz;3.490.000 TL;"17 Aralık
2022";"İstanbul
Gaziosmanpaşa"
Boxster;Boxster;GARAGE 2011 PORSCHE BOXSTER 2.7 PDK/BAYİ/IS­ITMA/CHRONO;2011;82.505;Beyaz;1.695.000 TL;"17 Aralık
2022";"İstanbul
Beykoz"
Panamera;Panamera Diesel;2013 Air Soğtma Keyless.Geri Görş.E.Bagaj 38.651km**g­animotors**;2013;38.651;Beyaz;4.449.000 TL;"17 Aralık
2022";"Antalya
Alanya"
Panamera;Panamera Diesel;2012 Panamera Chorono Geri Görüş Bayi 87.145km**g­animotors**;2012;87.145;Kahverengi;3.085.000 TL;"17 Aralık
2022";"Antalya
Alanya"
Panamera;Panamera Diesel;DEMİR GROUP'DAN PORSCHE PANAMERA 3.0 BOSE SES SİSTEMİ+VAKUM;2013;152.000;Siyah;3.750.000 TL;"17 Aralık
2022";"Bursa
Nilüfer"
